ticker,buyprice,buydat,duratione,type,score,sellprice,selldate
['CTL', 25.049216000000001, '2010-04-20', 5, 'long', 0.031369864748798992, 23.100715000000001, '2010-04-27']
['CB', 46.618257, '2010-04-20', 5, 'long', 0.15038711494363133, 45.577001000000003, '2010-04-27']
['DO', 68.393745999999993, '2010-04-20', 5, 'long', 0.036743236901045417, 63.384203999999997, '2010-04-27']
['A', 25.074873, '2010-04-20', 5, 'long', 0.35051830022982644, 25.026508, '2010-04-27']
['BHI', 47.211495999999997, '2010-04-20', 5, 'long', 0.69331011163657841, 47.821703999999997, '2010-04-27']
['AGN', 43.18, '2010-04-21', 5, 'long', 0.41927874433914347, 42.729999999999997, '2010-04-28']
['AAPL', 34.628096999999997, '2010-04-21', 5, 'long', 0.55569345812169946, 34.946030999999998, '2010-04-28']
['CCI', 36.225005000000003, '2010-04-21', 5, 'long', 0.71027019892389909, 35.515082, '2010-04-28']
['AON', 41.418300000000002, '2010-04-21', 5, 'long', 0.025335601348933423, 40.808104999999998, '2010-04-28']
['FITB', 13.529211999999999, '2010-04-21', 5, 'long', 0.25424699522210581, 12.895168999999999, '2010-04-28']
['CMG', 126.75, '2010-04-21', 5, 'long', 0.214377038418327, 135.270004, '2010-04-28']
['CME', 51.678890000000003, '2010-04-21', 5, 'long', 0.44180756610863137, 52.930397999999997, '2010-04-28']
['AEE', 20.668161999999999, '2010-04-21', 5, 'long', 0.017716059015110641, 20.330220000000001, '2010-04-28']
['DHI', 12.267087999999999, '2010-04-21', 5, 'long', 0.59900901006378182, 12.871937000000001, '2010-04-28']
['CTXS', 49.830002, '2010-04-21', 5, 'long', 0.42767961959813228, 47.729999999999997, '2010-04-28']
['DISCK', 15.380000000000001, '2010-04-21', 5, 'long', 0.01876175703189964, 15.5, '2010-04-28']
['MO', 16.079539, '2010-04-21', 5, 'long', 0.084428278000198365, 15.749857, '2010-04-28']
['AVB', 81.388032999999993, '2010-04-21', 5, 'long', 0.78527689889123309, 84.207106999999993, '2010-04-28']
['DOV', 36.213115000000002, '2010-04-21', 5, 'long', 0.1548329634624106, 38.546343, '2010-04-28']
['SCHW', 18.128475999999999, '2010-04-21', 5, 'long', 0.031532521610647013, 17.654104, '2010-04-28']
['ADP', 34.044950999999998, '2010-04-21', 5, 'long', 0.00967306517799571, 33.349843, '2010-04-28']
['CB', 46.185868999999997, '2010-04-21', 5, 'long', 0.20975109799480851, 46.600608000000001, '2010-04-28']
['CLX', 54.641756000000001, '2010-04-21', 5, 'long', 0.1941426302906164, 54.142138000000003, '2010-04-28']
['A', 24.964321000000002, '2010-04-21', 5, 'long', 0.84910350295144932, 25.316711000000002, '2010-04-28']
['BHI', 47.774766, '2010-04-21', 5, 'long', 2.2430996400901861, 48.103343000000002, '2010-04-28']
['AAPL', 35.596592000000001, '2010-04-22', 5, 'long', 1.9569094302815584, 35.886474999999997, '2010-04-29']
['DRI', 39.919350000000001, '2010-04-22', 5, 'long', 0.059418345815632989, 37.819194000000003, '2010-04-29']
['CCL', 35.841574000000001, '2010-04-22', 5, 'long', 0.6222118914141932, 37.185634, '2010-04-29']
['AON', 41.549726, '2010-04-22', 5, 'long', 0.21644691556091811, 41.448675000000001, '2010-04-29']
['EQR', 36.8947, '2010-04-22', 5, 'long', 0.19618479275805178, 39.770378999999998, '2010-04-29']
['CTSH', 26.844999000000001, '2010-04-22', 5, 'long', 0.010879009935857109, 26.024999999999999, '2010-04-29']
['CMG', 144.720001, '2010-04-22', 5, 'long', 9.6195741236120185, 139.13000500000001, '2010-04-29']
['DISCK', 15.385, '2010-04-22', 5, 'long', 0.090415532643280505, 16.094999000000001, '2010-04-29']
['FFIV', 71.790001000000004, '2010-04-22', 5, 'long', 2.2692146446044639, 70.389999000000003, '2010-04-29']
['BLL', 26.112432999999999, '2010-04-22', 5, 'long', 0.064009745047868938, 25.664192, '2010-04-29']
['MO', 15.94467, '2010-04-22', 5, 'long', 0.16283534611639516, 15.869740999999999, '2010-04-29']
['AVB', 84.105216999999996, '2010-04-22', 5, 'long', 3.3514681721798496, 90.558518000000007, '2010-04-29']
['DOV', 37.220475999999998, '2010-04-22', 5, 'long', 0.92240615418903582, 39.146315000000001, '2010-04-29']
['SCHW', 18.230792999999998, '2010-04-22', 5, 'long', 0.15862824766187078, 17.923846000000001, '2010-04-29']
['ADP', 34.052508000000003, '2010-04-22', 5, 'long', 0.094723923708893043, 33.538728999999996, '2010-04-29']
['CA', 20.450585, '2010-04-22', 5, 'long', 0.1950557094202981, 20.191935999999998, '2010-04-29']
['BBBY', 47.349997999999999, '2010-04-22', 5, 'long', 0.40715691388264208, 47.090000000000003, '2010-04-29']
['CLX', 54.214080000000003, '2010-04-22', 5, 'long', 0.27492377973207072, 54.716769999999997, '2010-04-29']
['DTE', 37.710237999999997, '2010-04-22', 5, 'long', 0.27973323034689601, 38.356563999999999, '2010-04-29']
['BBY', 40.571482000000003, '2010-04-22', 5, 'long', 0.30598956661389565, 40.992759999999997, '2010-04-29']
['AIV', 18.367152999999998, '2010-04-22', 5, 'long', 0.38398610851811732, 19.889147999999999, '2010-04-29']
['CNX', 41.183815000000003, '2010-04-22', 5, 'long', 0.21437611153588243, 42.468448000000002, '2010-04-29']
['ALXN', 28.135000000000002, '2010-04-22', 5, 'long', 0.019759047522716067, 27.424999, '2010-04-29']
['DHR', 41.573296999999997, '2010-04-22', 5, 'long', 0.65827949053089707, 41.878731000000002, '2010-04-29']
['BA', 66.130689000000004, '2010-04-23', 5, 'long', 0.44914907898519019, 63.754106, '2010-04-30']
['DRI', 39.935758, '2010-04-23', 5, 'long', 0.29993806308480764, 36.711691999999999, '2010-04-30']
['CCL', 36.849620000000002, '2010-04-23', 5, 'long', 2.1806012861559116, 35.927733000000003, '2010-04-30']
['EQR', 37.611510000000003, '2010-04-23', 5, 'long', 0.98921807807923479, 38.176527999999998, '2010-04-30']
['HRB', 14.807569000000001, '2010-04-23', 5, 'long', 0.0069096704355859741, 15.004239, '2010-04-30']
['CMI', 63.411861000000002, '2010-04-23', 5, 'long', 0.68607715755819676, 65.657093000000003, '2010-04-30']
['EMN', 31.877611999999999, '2010-04-23', 5, 'long', 0.72146187103727577, 29.995073999999999, '2010-04-30']
['EMR', 44.993805999999999, '2010-04-23', 5, 'long', 0.087396226042362635, 44.558711000000002, '2010-04-30']
['CMS', 13.253042000000001, '2010-04-23', 5, 'long', 0.11355778160440821, 13.155951, '2010-04-30']
['AME', 18.714456999999999, '2010-04-23', 5, 'long', 0.090996142395026069, 18.594073000000002, '2010-04-30']
['AMG', 85.389999000000003, '2010-04-23', 5, 'long', 0.036201536089302877, 84.180000000000007, '2010-04-30']
['AMT', 39.994152999999997, '2010-04-23', 5, 'long', 0.090450973032666138, 38.521630000000002, '2010-04-30']
['ED', 36.142698000000003, '2010-04-23', 5, 'long', 0.086486323887375205, 35.975555999999997, '2010-04-30']
['FFIV', 71.279999000000004, '2010-04-23', 5, 'long', 5.596875737918749, 68.430000000000007, '2010-04-30']
['BLL', 26.403313000000001, '2010-04-23', 5, 'long', 0.34683884968009937, 25.373311999999999, '2010-04-30']
['BLK', 181.57376600000001, '2010-04-23', 5, 'long', 3.2929911793049662, 158.324198, '2010-04-30']
['AVY', 33.670516999999997, '2010-04-23', 5, 'long', 0.37242785968248349, 33.422182999999997, '2010-04-30']
['GLW', 18.633474, '2010-04-23', 5, 'long', 0.038408909163451632, 17.211822000000002, '2010-04-30']
['COF', 44.195655000000002, '2010-04-23', 5, 'long', 0.33873365645277609, 41.055711000000002, '2010-04-30']
['DLTR', 20.876671000000002, '2010-04-23', 5, 'long', 0.11628643640856495, 20.239999999999998, '2010-04-30']
['CB', 47.430081999999999, '2010-04-23', 5, 'long', 0.52786003016118688, 46.653551, '2010-04-30']
['CA', 20.295397000000001, '2010-04-23', 5, 'long', 0.44503517366471074, 19.674636, '2010-04-30']
['BBBY', 47.840000000000003, '2010-04-23', 5, 'long', 1.2921505063927192, 45.959999000000003, '2010-04-30']
['DFS', 15.169594999999999, '2010-04-23', 5, 'long', 0.031993036000350639, 14.423242999999999, '2010-04-30']
['DTE', 38.244853999999997, '2010-04-23', 5, 'long', 0.99530520465542205, 38.436356000000004, '2010-04-30']
['BBY', 41.766534, '2010-04-23', 5, 'long', 1.3918486378943378, 39.135705000000002, '2010-04-30']
['ADBE', 36.25, '2010-04-23', 5, 'long', 0.62468556021621757, 33.599997999999999, '2010-04-30']
['AIV', 19.012066999999998, '2010-04-23', 5, 'long', 1.3592980657553682, 19.270032, '2010-04-30']
['GAS', 30.95534, '2010-04-23', 5, 'long', 0.05098832318981894, 31.144523, '2010-04-30']
['DUK', 37.639660999999997, '2010-04-23', 5, 'long', 0.022163852631681191, 38.867292999999997, '2010-04-30']
['CNX', 42.506231999999997, '2010-04-23', 5, 'long', 1.3874422465044454, 42.203966000000001, '2010-04-30']
['ALXN', 28.135000000000002, '2010-04-23', 5, 'long', 0.088009339118351626, 27.440000999999999, '2010-04-30']
['DHR', 42.075785000000003, '2010-04-23', 5, 'long', 2.0220950413901653, 41.519106999999998, '2010-04-30']
['BA', 65.435316, '2010-04-26', 5, 'long', 0.90466650131181758, 65.479330000000004, '2010-05-03']
['CMI', 63.911807000000003, '2010-04-26', 5, 'long', 2.0120237325745975, 66.584270000000004, '2010-05-03']
['EMN', 30.882556999999998, '2010-04-26', 5, 'long', 1.4535597800305817, 30.241598, '2010-05-03']
['EMR', 44.882899000000002, '2010-04-26', 5, 'long', 0.10907977838953364, 45.744554000000001, '2010-05-03']
['CMS', 13.390589, '2010-04-26', 5, 'long', 0.43794376530769563, 13.358226, '2010-05-03']
['AME', 18.594073000000002, '2010-04-26', 5, 'long', 0.20219931882644726, 18.933710000000001, '2010-05-03']
['AMT', 39.512751999999999, '2010-04-26', 5, 'long', 0.10779115035709363, 38.965273000000003, '2010-05-03']
['ED', 36.047187999999998, '2010-04-26', 5, 'long', 0.19118689981295245, 36.397392000000004, '2010-05-03']
['FTI', 35.115001999999997, '2010-04-26', 5, 'long', 0.063742416380192068, 34.474997999999999, '2010-05-03']
['AVY', 33.653390000000002, '2010-04-26', 5, 'long', 0.91502128553730877, 33.533506000000003, '2010-05-03']
['GLW', 18.705003999999999, '2010-04-26', 5, 'long', 0.20773182268856827, 17.712529, '2010-05-03']
['DLTR', 20.593330000000002, '2010-04-26', 5, 'long', 0.28089897971106703, 20.41, '2010-05-03']
['DD', 32.605319999999999, '2010-04-26', 5, 'long', 0.23363801989780608, 31.944452999999999, '2010-05-03']
